"","name","coeff","conf_low","conf_up","pval","fdr","model","outcome"
"1","Cer16",1.28704423462953,1.06199509279257,1.55978391344288,0.0100721886036793,0.027698518660118,"Crude","CVE"
"2","Cer18",1.32477710959843,1.10294066598955,1.59123191685145,0.0026311672336661,0.0144714197851636,"Crude","CVE"
"3","Cer20",1.06171220382215,0.871102438614484,1.29403013213669,0.553092184691936,0.676001559067921,"Crude","CVE"
"4","Cer22",1.03073441104368,0.843064044593226,1.26018116052166,0.767838323927054,0.844622156319759,"Crude","CVE"
"5","Cer24:0",1.01270512686181,0.825570407484692,1.24225827945657,0.903599057934811,0.903599057934811,"Crude","CVE"
"6","Cer24:1",1.19691428052557,0.991062192469348,1.44552360670376,0.0619400206212468,0.124334417736073,"Crude","CVE"
"7","Ratio Cer16/Cer24:0",1.19368109276024,0.987116835492371,1.44347102590198,0.0678187733105854,0.124334417736073,"Crude","CVE"
"8","Ratio Cer18/Cer24:0",1.29241954684928,1.07680669074321,1.55120533651702,0.00587607892519475,0.0215456227257141,"Crude","CVE"
"9","Ratio Cer20/Cer24:0",1.13870117078011,0.934593526564374,1.38738426864835,0.197472375873327,0.310313733515228,"Crude","CVE"
"10","Ratio Cer22/Cer24:0",1.07693890975181,0.879710881349221,1.31838475563543,0.472643302328159,0.649884540701219,"Crude","CVE"
"11","Ratio Cer24:1/Cer24:0",1.34061541886176,1.1143880455413,1.6127682888207,0.00188045053754732,0.0144714197851636,"Crude","CVE"
"12","Cer16",1.03848082156463,0.832095033779441,1.29605678795988,0.738370953687353,0.77669707260199,"Level 2 Adjusted","CVE"
"13","Cer18",1.03440608113202,0.81878554212721,1.30680854220147,0.77669707260199,0.77669707260199,"Level 2 Adjusted","CVE"
"14","Cer20",0.769270355177488,0.584382237187796,1.01265377640958,0.0614410909495121,0.135170400088927,"Level 2 Adjusted","CVE"
"15","Cer22",0.7216728124571,0.536581128533844,0.970611191010029,0.0309867534062307,0.113618095822846,"Level 2 Adjusted","CVE"
"16","Cer24:0",0.760712258757613,0.571693176935786,1.01222677472869,0.0605756119151256,0.135170400088927,"Level 2 Adjusted","CVE"
"17","Cer24:1",0.832042873693053,0.630212808701665,1.09851043029358,0.194581305937028,0.356732394217885,"Level 2 Adjusted","CVE"
"18","Ratio Cer16/Cer24:0",1.32028691738439,1.04081934709597,1.67479356439714,0.0220411493931962,0.113618095822846,"Level 2 Adjusted","CVE"
"19","Ratio Cer18/Cer24:0",1.3349969983128,1.06016966348869,1.68106770725685,0.0140184254734449,0.113618095822846,"Level 2 Adjusted","CVE"
"20","Ratio Cer20/Cer24:0",1.08414216598703,0.86151894999442,1.36429295731529,0.490881184433977,0.674961628596719,"Level 2 Adjusted","CVE"
"21","Ratio Cer22/Cer24:0",0.962718856904621,0.767451332917089,1.2076695390141,0.742533247242678,0.77669707260199,"Level 2 Adjusted","CVE"
"22","Ratio Cer24:1/Cer24:0",1.09896930623129,0.885945256502888,1.36321463112269,0.390658108013296,0.613891312592322,"Level 2 Adjusted","CVE"
"23","Cer16",1.05632181347591,0.84984200156886,1.31296849480864,0.621474344549877,0.759579754449849,"Level 1 Adjusted","CVE"
"24","Cer18",1.03941907505499,0.825095615266825,1.30941431950137,0.74279712081017,0.817076832891187,"Level 1 Adjusted","CVE"
"25","Cer20",0.776126595013599,0.595834790928693,1.01097233773228,0.0602368760352036,0.132521127277448,"Level 1 Adjusted","CVE"
"26","Cer22",0.734233152144701,0.552746914962848,0.975307698903356,0.0329611313421547,0.120857481587901,"Level 1 Adjusted","CVE"
"27","Cer24:0",0.754938709642021,0.573472479689933,0.993827037043021,0.0450585248682846,0.123910943387783,"Level 1 Adjusted","CVE"
"28","Cer24:1",0.834809856492487,0.638956842469407,1.09069572493133,0.185652099329216,0.340362182103563,"Level 1 Adjusted","CVE"
"29","Ratio Cer16/Cer24:0",1.36891111793911,1.08591435461413,1.72565878778089,0.00787223835900241,0.0432973109745132,"Level 1 Adjusted","CVE"
"30","Ratio Cer18/Cer24:0",1.37309663967579,1.09615890816398,1.7200009668734,0.00580095667539377,0.0432973109745132,"Level 1 Adjusted","CVE"
"31","Ratio Cer20/Cer24:0",1.11889861083467,0.893883173871729,1.40055673707915,0.326740436455242,0.449268100125958,"Level 1 Adjusted","CVE"
"32","Ratio Cer22/Cer24:0",1.01868869688538,0.818110542355763,1.26844308615543,0.868545956778218,0.868545956778218,"Level 1 Adjusted","CVE"
"33","Ratio Cer24:1/Cer24:0",1.13762939537343,0.922604027713742,1.40276933802772,0.227685730751521,0.357791862609533,"Level 1 Adjusted","CVE"
"34","Cer16",1.51871843100092,1.0416211721932,2.2143421564727,0.0298621266618565,0.0821208483201053,"Crude","ESKD"
"35","Cer18",1.20041610940849,0.822553527516266,1.75186025896523,0.343574408404677,0.472414811556431,"Crude","ESKD"
"36","Cer20",1.16289153190665,0.793798574916627,1.70360184272469,0.438563843202313,0.536022475025049,"Crude","ESKD"
"37","Cer22",1.13479464063727,0.772636762249928,1.66670671049756,0.519088866660636,0.570997753326699,"Crude","ESKD"
"38","Cer24:0",0.914093631771351,0.59862778217315,1.39580419173271,0.677481698338129,0.677481698338129,"Crude","ESKD"
"39","Cer24:1",1.30807413825451,0.911362014124335,1.877473413037,0.145236810557973,0.228229273733957,"Crude","ESKD"
"40","Ratio Cer16/Cer24:0",1.42126059149648,0.9979942604621,2.02404136874054,0.0513152847589064,0.112893626469594,"Crude","ESKD"
"41","Ratio Cer18/Cer24:0",1.33651904685304,0.929030332987731,1.92273933280126,0.11799553587088,0.216325149096613,"Crude","ESKD"
"42","Ratio Cer20/Cer24:0",1.51415927596858,1.04358213169677,2.19693136109373,0.0289180680903638,0.0821208483201053,"Crude","ESKD"
"43","Ratio Cer22/Cer24:0",1.87325913906068,1.27306628903321,2.75641561818374,0.00144729271076114,0.00796010990918625,"Crude","ESKD"
"44","Ratio Cer24:1/Cer24:0",1.78842510847938,1.26275052278504,2.53293450363033,0.00106140897541166,0.00796010990918625,"Crude","ESKD"
"45","Cer16",0.785812096337232,0.426413911602111,1.44812501175175,0.43963420192537,0.725560676997939,"Level 2 Adjusted","ESKD"
"46","Cer18",0.763994206773063,0.414951595331171,1.40663912261131,0.387382290621394,0.725560676997939,"Level 2 Adjusted","ESKD"
"47","Cer20",0.783168878203421,0.411841764300552,1.48929405648815,0.456073788118622,0.725560676997939,"Level 2 Adjusted","ESKD"
"48","Cer22",0.882260160659163,0.442040967363954,1.76088428121969,0.722387549379616,0.794626304317578,"Level 2 Adjusted","ESKD"
"49","Cer24:0",0.746554169850561,0.392017414291397,1.4217305359475,0.373826027388174,0.725560676997939,"Level 2 Adjusted","ESKD"
"50","Cer24:1",1.31384364168773,0.605065794635404,2.85288828108921,0.490212854350757,0.725560676997939,"Level 2 Adjusted","ESKD"
"51","Ratio Cer16/Cer24:0",1.23154714566845,0.639974965715748,2.36994953436626,0.532893192445952,0.725560676997939,"Level 2 Adjusted","ESKD"
"52","Ratio Cer18/Cer24:0",1.02778007895112,0.590414281924741,1.78913675198565,0.922819250616585,0.922819250616585,"Level 2 Adjusted","ESKD"
"53","Ratio Cer20/Cer24:0",1.17696115740746,0.646889912187803,2.14138068927524,0.593640553907404,0.725560676997939,"Level 2 Adjusted","ESKD"
"54","Ratio Cer22/Cer24:0",1.5172686655964,0.840990793950437,2.73737146727477,0.166123735188491,0.725560676997939,"Level 2 Adjusted","ESKD"
"55","Ratio Cer24:1/Cer24:0",1.51677400748703,0.902092570469896,2.55029634995207,0.116109388546815,0.725560676997939,"Level 2 Adjusted","ESKD"
"56","Cer16",1.42295596184913,0.910476102364969,2.22389545876331,0.121551444015664,0.191009412024615,"Level 1 Adjusted","ESKD"
"57","Cer18",1.00652035969085,0.634482004531809,1.59670916942674,0.977977224851408,0.977977224851408,"Level 1 Adjusted","ESKD"
"58","Cer20",0.908923654347485,0.56014662282836,1.47486778597527,0.699011708754445,0.85434764403321,"Level 1 Adjusted","ESKD"
"59","Cer22",0.806300717251298,0.475125544590572,1.36831381524684,0.424944099073555,0.584298136226139,"Level 1 Adjusted","ESKD"
"60","Cer24:0",0.59076542611248,0.342426532754844,1.01920778708969,0.0585458775751213,0.107334108887722,"Level 1 Adjusted","ESKD"
"61","Cer24:1",1.03842212168858,0.643272426515537,1.67630456143323,0.877368811712937,0.965105692884231,"Level 1 Adjusted","ESKD"
"62","Ratio Cer16/Cer24:0",2.10059675956389,1.37062678322722,3.2193349789217,0.00065626279072437,0.00360944534898404,"Level 1 Adjusted","ESKD"
"63","Ratio Cer18/Cer24:0",1.69037710269255,1.10737914872392,2.5803039118083,0.0149903961360944,0.0329788714994078,"Level 1 Adjusted","ESKD"
"64","Ratio Cer20/Cer24:0",1.72800140804953,1.1401700674518,2.61889778679653,0.00992833907867608,0.0273029324663592,"Level 1 Adjusted","ESKD"
"65","Ratio Cer22/Cer24:0",1.90011502835632,1.22973319817928,2.9359515757817,0.00383441818986287,0.0140595333628305,"Level 1 Adjusted","ESKD"
"66","Ratio Cer24:1/Cer24:0",2.05926594495428,1.37905520397478,3.07498657038967,0.000413908401155721,0.00360944534898404,"Level 1 Adjusted","ESKD"
"67","Cer16",1.07048174161718,0.830049282198991,1.38055797855751,0.599742306131204,0.659716536744325,"Crude","Mortality"
"68","Cer18",0.925248431112459,0.710123543515532,1.2055432707356,0.564992103620242,0.659716536744325,"Crude","Mortality"
"69","Cer20",0.728084938233851,0.544481865891546,0.973600243627915,0.032320737719293,0.0507897307017461,"Crude","Mortality"
"70","Cer22",0.544949594179029,0.391646750539847,0.758259987569267,0.000315925201758514,0.000695035443868731,"Crude","Mortality"
"71","Cer24:0",0.583684844192392,0.425186675506978,0.801266871624498,0.000866693989560694,0.00158893898086127,"Crude","Mortality"
"72","Cer24:1",0.734410517071027,0.547005926516849,0.986020043729672,0.0400119321170956,0.0550164066610064,"Crude","Mortality"
"73","Ratio Cer16/Cer24:0",1.76531250189744,1.43304048890499,2.17462678373911,9.20770549195457e-08,1.012847604115e-06,"Crude","Mortality"
"74","Ratio Cer18/Cer24:0",1.71192068942834,1.38603046681955,2.11443580574219,6.04395933443669e-07,3.32417763394018e-06,"Crude","Mortality"
"75","Ratio Cer20/Cer24:0",1.58246283121252,1.25110075460926,2.00158828371201,0.000128815504606435,0.000354242637667696,"Crude","Mortality"
"76","Ratio Cer22/Cer24:0",1.02184179581164,0.789187576997638,1.3230829857205,0.869799346619015,0.869799346619015,"Crude","Mortality"
"77","Ratio Cer24:1/Cer24:0",1.64636470257178,1.3140647415819,2.06269649287696,1.46122568118458e-05,5.3578274976768e-05,"Crude","Mortality"
"78","Cer16",0.808550891792682,0.587129260113993,1.11347634844806,0.193047832107748,0.212352615318523,"Level 2 Adjusted","Mortality"
"79","Cer18",0.711308635963565,0.509090248024393,0.993851242603461,0.0459224757883892,0.0721638905246116,"Level 2 Adjusted","Mortality"
"80","Cer20",0.554121534852141,0.378723496190645,0.810751586514522,0.00236268171891368,0.00519789978161011,"Level 2 Adjusted","Mortality"
"81","Cer22",0.376032801513054,0.237048620796659,0.596504916748913,3.25792734812416e-05,0.000358372008293658,"Level 2 Adjusted","Mortality"
"82","Cer24:0",0.472532887600483,0.306928413463538,0.727489929473657,0.000661360213199865,0.0024249874483995,"Level 2 Adjusted","Mortality"
"83","Cer24:1",0.479671720584519,0.309682459332034,0.742970590019183,0.000999112843984554,0.00274756032095752,"Level 2 Adjusted","Mortality"
"84","Ratio Cer16/Cer24:0",1.68529472013956,1.27187375006286,2.23309765893816,0.000278300804376396,0.00153065442407018,"Level 2 Adjusted","Mortality"
"85","Ratio Cer18/Cer24:0",1.47500171498247,1.12422663069548,1.93522373496463,0.00503042203892463,0.00922244040469515,"Level 2 Adjusted","Mortality"
"86","Ratio Cer20/Cer24:0",1.30517738034788,0.991947224845289,1.71731716315598,0.0571427265397312,0.0785712489921304,"Level 2 Adjusted","Mortality"
"87","Ratio Cer22/Cer24:0",0.899396645878481,0.668757198661986,1.20957849610575,0.483074011466686,0.483074011466686,"Level 2 Adjusted","Mortality"
"88","Ratio Cer24:1/Cer24:0",1.21326866170838,0.934923281245578,1.57448303514541,0.145976989041462,0.178416319939565,"Level 2 Adjusted","Mortality"
"89","Cer16",0.876438660595356,0.638934093215177,1.20222842065103,0.41343791162928,0.454781702792208,"Level 1 Adjusted","Mortality"
"90","Cer18",0.745996355193921,0.533456669127029,1.04321605515461,0.0867702346112653,0.106052508969324,"Level 1 Adjusted","Mortality"
"91","Cer20",0.570400819269003,0.389795291615318,0.834687082223246,0.0038498043246346,0.00705797459516342,"Level 1 Adjusted","Mortality"
"92","Cer22",0.382329776180734,0.242276913868802,0.603342907998107,3.6160627708712e-05,0.000233811456777298,"Level 1 Adjusted","Mortality"
"93","Cer24:0",0.45904445800618,0.299389353620157,0.703838703274452,0.000356285565333666,0.00130638040622344,"Level 1 Adjusted","Mortality"
"94","Cer24:1",0.521238927995405,0.343812020993957,0.790228390712883,0.00214852784052325,0.00472676124915114,"Level 1 Adjusted","Mortality"
"95","Ratio Cer16/Cer24:0",1.76123456973699,1.34312673083592,2.30949704031732,4.25111739595087e-05,0.000233811456777298,"Level 1 Adjusted","Mortality"
"96","Ratio Cer18/Cer24:0",1.5754721538206,1.21119639253615,2.04930639057369,0.000703563474567929,0.00193479955506181,"Level 1 Adjusted","Mortality"
"97","Ratio Cer20/Cer24:0",1.41128020080422,1.0811132712593,1.8422785642637,0.0112918340282948,0.0177443106158918,"Level 1 Adjusted","Mortality"
"98","Ratio Cer22/Cer24:0",0.982579688630963,0.737173392983102,1.3096821639251,0.904590447764801,0.904590447764801,"Level 1 Adjusted","Mortality"
"99","Ratio Cer24:1/Cer24:0",1.32943391782129,1.02795825014122,1.71932521735279,0.0299984965885161,0.0412479328092097,"Level 1 Adjusted","Mortality"
